,SELL_ID,BURGER,COFFEE,COKE,LEMONADE,CALENDAR_DATE,PRICE,QUANTITY,SELL_CATEGORY,YEAR,MONTH,DAY,DAYOFWEEK,HOLIDAY,IS_WEEKEND,IS_SCHOOLBREAK,AVERAGE_TEMPERATURE,IS_OUTDOOR
0,1070,1,0,0,0,2012-01-01,15.5,46,0,2012,1,1,Sunday,New Year,1,0,24.8,0
1,2051,1,0,1,0,2012-01-01,12.73,22,2,2012,1,1,Sunday,New Year,1,0,24.8,0
2,2052,1,0,0,1,2012-01-01,12.75,18,2,2012,1,1,Sunday,New Year,1,0,24.8,0
3,2053,1,1,1,0,2012-01-01,12.6,30,2,2012,1,1,Sunday,New Year,1,0,24.8,0
4,1070,1,0,0,0,2012-01-02,15.5,70,0,2012,1,2,Monday,New Year,0,0,24.8,0
5,2051,1,0,1,0,2012-01-02,12.73,22,2,2012,1,2,Monday,New Year,0,0,24.8,0
6,2052,1,0,0,1,2012-01-02,12.75,16,2,2012,1,2,Monday,New Year,0,0,24.8,0
7,2053,1,1,1,0,2012-01-02,12.6,34,2,2012,1,2,Monday,New Year,0,0,24.8,0
8,1070,1,0,0,0,2012-01-03,15.5,62,0,2012,1,3,Tuesday,New Year,0,0,32.0,1
9,2051,1,0,1,0,2012-01-03,12.73,26,2,2012,1,3,Tuesday,New Year,0,0,32.0,1
10,2052,1,0,0,1,2012-01-03,12.75,12,2,2012,1,3,Tuesday,New Year,0,0,32.0,1
11,2053,1,1,1,0,2012-01-03,12.6,28,2,2012,1,3,Tuesday,New Year,0,0,32.0,1
12,1070,1,0,0,0,2012-01-04,15.5,88,0,2012,1,4,Wednesday,No Holiday,0,0,32.0,1
13,2051,1,0,1,0,2012-01-04,12.73,26,2,2012,1,4,Wednesday,No Holiday,0,0,32.0,1
14,2052,1,0,0,1,2012-01-04,12.75,24,2,2012,1,4,Wednesday,No Holiday,0,0,32.0,1
15,2053,1,1,1,0,2012-01-04,12.6,42,2,2012,1,4,Wednesday,No Holiday,0,0,32.0,1
16,1070,1,0,0,0,2012-01-05,15.5,104,0,2012,1,5,Thursday,No Holiday,0,0,24.8,0
17,2051,1,0,1,0,2012-01-05,12.73,36,2,2012,1,5,Thursday,No Holiday,0,0,24.8,0
18,2052,1,0,0,1,2012-01-05,12.75,24,2,2012,1,5,Thursday,No Holiday,0,0,24.8,0
19,2053,1,1,1,0,2012-01-05,12.6,58,2,2012,1,5,Thursday,No Holiday,0,0,24.8,0
20,1070,1,0,0,0,2012-01-06,15.5,100,0,2012,1,6,Friday,No Holiday,0,0,23.0,0
21,2051,1,0,1,0,2012-01-06,12.73,38,2,2012,1,6,Friday,No Holiday,0,0,23.0,0
22,2052,1,0,0,1,2012-01-06,12.75,20,2,2012,1,6,Friday,No Holiday,0,0,23.0,0
23,2053,1,1,1,0,2012-01-06,12.6,54,2,2012,1,6,Friday,No Holiday,0,0,23.0,0
24,1070,1,0,0,0,2012-01-07,15.5,70,0,2012,1,7,Saturday,No Holiday,1,0,26.6,0
25,2051,1,0,1,0,2012-01-07,12.73,24,2,2012,1,7,Saturday,No Holiday,1,0,26.6,0
26,2052,1,0,0,1,2012-01-07,12.75,18,2,2012,1,7,Saturday,No Holiday,1,0,26.6,0
27,2053,1,1,1,0,2012-01-07,12.6,42,2,2012,1,7,Saturday,No Holiday,1,0,26.6,0
28,1070,1,0,0,0,2012-01-08,15.5,70,0,2012,1,8,Sunday,No Holiday,1,0,26.6,0
29,2051,1,0,1,0,2012-01-08,12.73,26,2,2012,1,8,Sunday,No Holiday,1,0,26.6,0
30,2052,1,0,0,1,2012-01-08,12.75,18,2,2012,1,8,Sunday,No Holiday,1,0,26.6,0
31,2053,1,1,1,0,2012-01-08,12.6,42,2,2012,1,8,Sunday,No Holiday,1,0,26.6,0
32,1070,1,0,0,0,2012-01-09,15.5,106,0,2012,1,9,Monday,No Holiday,0,0,23.0,0
33,2051,1,0,1,0,2012-01-09,12.73,34,2,2012,1,9,Monday,No Holiday,0,0,23.0,0
34,2052,1,0,0,1,2012-01-09,12.75,24,2,2012,1,9,Monday,No Holiday,0,0,23.0,0
35,2053,1,1,1,0,2012-01-09,12.6,54,2,2012,1,9,Monday,No Holiday,0,0,23.0,0
36,1070,1,0,0,0,2012-01-10,15.5,108,0,2012,1,10,Tuesday,No Holiday,0,0,24.8,0
37,2051,1,0,1,0,2012-01-10,12.73,40,2,2012,1,10,Tuesday,No Holiday,0,0,24.8,0
38,2052,1,0,0,1,2012-01-10,12.75,28,2,2012,1,10,Tuesday,No Holiday,0,0,24.8,0
39,2053,1,1,1,0,2012-01-10,12.6,58,2,2012,1,10,Tuesday,No Holiday,0,0,24.8,0
40,1070,1,0,0,0,2012-01-11,15.5,104,0,2012,1,11,Wednesday,No Holiday,0,0,21.2,0
41,2051,1,0,1,0,2012-01-11,12.73,32,2,2012,1,11,Wednesday,No Holiday,0,0,21.2,0
42,2052,1,0,0,1,2012-01-11,12.75,26,2,2012,1,11,Wednesday,No Holiday,0,0,21.2,0
43,2053,1,1,1,0,2012-01-11,12.6,52,2,2012,1,11,Wednesday,No Holiday,0,0,21.2,0
44,1070,1,0,0,0,2012-01-12,15.5,102,0,2012,1,12,Thursday,No Holiday,0,0,24.8,0
45,2051,1,0,1,0,2012-01-12,12.73,32,2,2012,1,12,Thursday,No Holiday,0,0,24.8,0
46,2052,1,0,0,1,2012-01-12,12.75,26,2,2012,1,12,Thursday,No Holiday,0,0,24.8,0
47,2053,1,1,1,0,2012-01-12,12.6,60,2,2012,1,12,Thursday,No Holiday,0,0,24.8,0
48,1070,1,0,0,0,2012-01-13,15.5,100,0,2012,1,13,Friday,No Holiday,0,0,26.6,0
49,2051,1,0,1,0,2012-01-13,12.73,40,2,2012,1,13,Friday,No Holiday,0,0,26.6,0
50,2052,1,0,0,1,2012-01-13,12.75,26,2,2012,1,13,Friday,No Holiday,0,0,26.6,0
51,2053,1,1,1,0,2012-01-13,12.6,58,2,2012,1,13,Friday,No Holiday,0,0,26.6,0
52,1070,1,0,0,0,2012-01-14,15.5,74,0,2012,1,14,Saturday,No Holiday,1,0,23.0,0
53,2051,1,0,1,0,2012-01-14,12.73,24,2,2012,1,14,Saturday,No Holiday,1,0,23.0,0
54,2052,1,0,0,1,2012-01-14,12.75,20,2,2012,1,14,Saturday,No Holiday,1,0,23.0,0
55,2053,1,1,1,0,2012-01-14,12.6,42,2,2012,1,14,Saturday,No Holiday,1,0,23.0,0
56,1070,1,0,0,0,2012-01-15,15.5,60,0,2012,1,15,Sunday,No Holiday,1,0,32.0,1
